hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number | VA,"To the best Of its knowledge And belief, the hospital has included all applicable standard charge information In accordance With the requirements Of 45 CFR 180.50, And the information encoded Is True, accurate, And complete As Of the Date indicated.",Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
R&B SENIOR TREATMENT AREA,30010040,CDM,124,RC,,,facility,both,,,,4312,2156,,,,,,,,,,,
R&B PRIVATE 2,30010046,CDM,110,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B GYN,30010047,CDM,110,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B SCN INTERMEDIATE,30010048,CDM,172,RC,,,facility,both,,,,2885,1442.5,,,,,,,,,,,
R&B SCN CRITICAL,30010049,CDM,173,RC,,,facility,both,,,,4822,2411,,,,,,,,,,,
R&B NEWBORN CONTINUING CARE,30010050,CDM,172,RC,,,facility,both,,,,2885,1442.5,,,,,,,,,,,
R&B NEONATAL INT CARE NURSERY,30010051,CDM,174,RC,,,facility,both,,,,2885,1442.5,,,,,,,,,,,
R&B NEONATAL MODERATE CARE,30010052,CDM,173,RC,,,facility,both,,,,2885,1442.5,,,,,,,,,,,
R&B INTERMEDIATE CARE,30010053,CDM,206,RC,,,facility,both,,,,3040,1520,,,,,,,,,,,
R&B PRIVATE CARE,30010054,CDM,111,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B HOSPICE,30010055,CDM,115,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B POSTPARTUM SEMI-PRIVATE,30010056,CDM,122,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B BEHAVIORAL SEMI PRIVATE,30010058,CDM,124,RC,,,facility,both,,,,4434,2217,,,,,,,,,,,
FUNDUS PHOTOS,10400020,CDM,920,RC,92250,HCPCS,facility,both,,,,416,208,,,,,,,,,,,
CORNEAL TOPOGRA MAPPING,10400106,CDM,920,RC,92025,HCPCS,facility,both,,,,330,165,,,,,,,,,,,
CHGL DRAW FEE - HEEL STICK,15300100,CDM,300,RC,36416,HCPCS,facility,both,,,,49,24.5,,,,,,,,,,,
CHGL SICKLE CELL PREP,20100001,CDM,300,RC,85660,HCPCS,facility,both,,,,91,45.5,,,,,,,,,,,
CHGL HCT,20100004,CDM,300,RC,85014,HCPCS,facility,both,,,,45,22.5,,,,,,,,,,,
CHGL WBC COUNT,20100005,CDM,300,RC,85048,HCPCS,facility,both,,,,44,22,,,,,,,,,,,
"CHGL BLOOD CT, PLATELET, AUTOMATED",20100008,CDM,300,RC,85049,HCPCS,facility,both,,,,90,45,,,,,,,,,,,
CHGL RETICULOCYTE COUNT,20100009,CDM,300,RC,85046,HCPCS,facility,both,,,,57,28.5,,,,,,,,,,,
"CHGL SED RATE, AUTOMATED",20100010,CDM,300,RC,85652,HCPCS,facility,both,,,,90,45,,,,,,,,,,,
CHGL FIBRINOGEN,20100017,CDM,300,RC,85384,HCPCS,facility,both,,,,59,29.5,,,,,,,,,,,
CHGL PTT,20100020,CDM,300,RC,85730,HCPCS,facility,both,,,,103,51.5,,,,,,,,,,,
CHGL EOS COUNT,20100025,CDM,300,RC,85048,HCPCS,facility,both,,,,44,22,,,,,,,,,,,
CHGL LC - FACTOR II ASSAY,20100026,CDM,300,RC,85210,HCPCS,facility,both,,,,39,19.5,,,,,,,,,,,
CHGL LC - FACTOR V ASSAY,20100031,CDM,300,RC,85220,HCPCS,facility,both,,,,32,16,,,,,,,,,,,
CHGL LC - INHIBITOR TITER,20100033,CDM,300,RC,85335,HCPCS,facility,both,,,,316,158,,,,,,,,,,,
CHGL MALARIA,20100039,CDM,300,RC,87207,HCPCS,facility,both,,,,64,32,,,,,,,,,,,
CHGL LAP,20100042,CDM,300,RC,85540,HCPCS,facility,both,,,,181,90.5,,,,,,,,,,,
CHGL KLEIHAUER-BETKE,20100060,CDM,300,RC,85460,HCPCS,facility,both,,,,157,78.5,,,,,,,,,,,
CHGL RISTOCETIN AGGREG,20100068,CDM,300,RC,85576,HCPCS,facility,both,,,,251,125.5,,,,,,,,,,,
CHGL REPTILASE,20100071,CDM,300,RC,85635,HCPCS,facility,both,,,,284,142,,,,,,,,,,,
CHGL THROMBIN TIME,20100072,CDM,300,RC,85670,HCPCS,facility,both,,,,103,51.5,,,,,,,,,,,
CHGL PLASMINOGEN,20100074,CDM,300,RC,85420,HCPCS,facility,both,,,,318,159,,,,,,,,,,,
CHGL ANTITHROMBIN III,20100075,CDM,300,RC,85300,HCPCS,facility,both,,,,504,252,,,,,,,,,,,
CHGL LC - FACTOR VII ASSAY,20100107,CDM,300,RC,85230,HCPCS,facility,both,,,,46,23,,,,,,,,,,,
CHGL FACTOR VIII ASSAY,20100108,CDM,300,RC,85240,HCPCS,facility,both,,,,129,64.5,,,,,,,,,,,
CHGL FACTOR IX ASSAY,20100109,CDM,300,RC,85250,HCPCS,facility,both,,,,336,168,,,,,,,,,,,
CHGL LC - FACTOR X ASSAY,20100110,CDM,300,RC,85260,HCPCS,facility,both,,,,39,19.5,,,,,,,,,,,
CHGL LC - FACTOR XI ASSAY,20100111,CDM,300,RC,85270,HCPCS,facility,both,,,,46,23,,,,,,,,,,,
CHGL LC - FACTOR XII ASSAY,20100112,CDM,300,RC,85280,HCPCS,facility,both,,,,46,23,,,,,,,,,,,
CHGL FACTOR XIII ASSAY,20100113,CDM,300,RC,85290,HCPCS,facility,both,,,,103,51.5,,,,,,,,,,,
CHGL FLETCHER FACTOR,20100114,CDM,300,RC,85292,HCPCS,facility,both,,,,151,75.5,,,,,,,,,,,
CHGL FITZGERALD FACTOR,20100115,CDM,300,RC,85293,HCPCS,facility,both,,,,151,75.5,,,,,,,,,,,
CHGL PT 1:1 MIX W/NORMAL,20100122,CDM,300,RC,85611,HCPCS,facility,both,,,,60,30,,,,,,,,,,,
CHGL PTT 1:1 W/NORMAL,20100123,CDM,300,RC,85732,HCPCS,facility,both,,,,101,50.5,,,,,,,,,,,
CHGL VONWILLEBRAND FACTOR,20100126,CDM,300,RC,85245,HCPCS,facility,both,,,,167,83.5,,,,,,,,,,,
CHGL HEMATOCRIT-SPUN,20100147,CDM,300,RC,85013,HCPCS,facility,both,,,,17,8.5,,,,,,,,,,,
CHGL FIBRINOGEN ANTIGEN,20100152,CDM,300,RC,85385,HCPCS,facility,both,,,,262,131,,,,,,,,,,,
CHGL EOS SMEAR,20100161,CDM,300,RC,89190,HCPCS,facility,both,,,,169,84.5,,,,,,,,,,,
CHGL ADAMTS13 ACTIVITY,20100300,CDM,300,RC,85397,HCPCS,facility,both,,,,198,99,,,,,,,,,,,
"CHGL STAIN, INCLUSION BODIES",20100813,CDM,300,RC,87207,HCPCS,facility,both,,,,64,32,,,,,,,,,,,
CHGL PROTEIN C ANTIGEN,20100831,CDM,300,RC,85302,HCPCS,facility,both,,,,483,241.5,,,,,,,,,,,
CHGL PROTEIN C FUNCTIONAL,20100832,CDM,300,RC,85303,HCPCS,facility,both,,,,342,171,,,,,,,,,,,
CHGL BODY FLUID DIFF,20100836,CDM,300,RC,89051,HCPCS,facility,both,,,,187,93.5,,,,,,,,,,,
CHGL CBC WITHOUT DIFF,20100837,CDM,300,RC,85027,HCPCS,facility,both,,,,118,59,,,,,,,,,,,
CHGL CBC WITH DIFF,20100839,CDM,300,RC,85025,HCPCS,facility,both,,,,145,72.5,,,,,,,,,,,
CHGL CSF PROFILE,20100849,CDM,300,RC,89051,HCPCS,facility,both,,,,187,93.5,,,,,,,,,,,
CHGL PLATELET AGGREGATION-ADP,20100861,CDM,300,RC,85576,HCPCS,facility,both,,,,102,51,,,,,,,,,,,
CHGL PLATELET AGGREGATION-ADP 1:4,20100862,CDM,300,RC,85576,HCPCS,facility,both,,,,195,97.5,,,,,,,,,,,
CHGL PLATELET AGGREGATION-COLLAGEN,20100863,CDM,300,RC,85576,HCPCS,facility,both,,,,195,97.5,,,,,,,,,,,
CHGL PLATELET AGGREGATION-EPINEPHRI,20100864,CDM,300,RC,85576,HCPCS,facility,both,,,,102,51,,,,,,,,,,,
CHGL PLAT AGGREGATION-ARACADONIC AC,20100865,CDM,300,RC,85576,HCPCS,facility,both,,,,195,97.5,,,,,,,,,,,
CHGL PT/INR,20100866,CDM,300,RC,85610,HCPCS,facility,both,,,,69,34.5,,,,,,,,,,,
CHGL H.PYLORI BIOPSY SCREEN,20100868,CDM,300,RC,87081,HCPCS,facility,both,,,,109,54.5,,,,,,,,,,,
CHGL HGB,20100874,CDM,300,RC,85018,HCPCS,facility,both,,,,41,20.5,,,,,,,,,,,
CHGL SMEAR - GIEMSA/GRAM STAIN,20100876,CDM,300,RC,87205,HCPCS,facility,both,,,,64,32,,,,,,,,,,,
CHGL PLATELET ANTIBODY INDIRECT,20100877,CDM,300,RC,86022,HCPCS,facility,both,,,,201,100.5,,,,,,,,,,,
CHGL PLATELET ANTIBODY DIRECT,20100879,CDM,300,RC,86023,HCPCS,facility,both,,,,98,49,,,,,,,,,,,
CHGL G6PD QUANT(LC),20100909,CDM,300,RC,82955,HCPCS,facility,both,,,,145,72.5,,,,,,,,,,,
CHGL IN SITU HYBRID (FISH) INIT,20101000,CDM,300,RC,88365,HCPCS,facility,both,,,,378,189,,,,,,,,,,,
CHGL IN SITU HYBRID (FISH) EA ADD'T,20101001,CDM,300,RC,88364,HCPCS,facility,both,,,,378,189,,,,,,,,,,,
CHGL IN SITU HYBRID (FISH) MULTI,20101002,CDM,300,RC,88366,HCPCS,facility,both,,,,378,189,,,,,,,,,,,
"CHGL MORPH ANALYSIS,EA MULTIPLEX",20101004,CDM,300,RC,88374,HCPCS,facility,both,,,,150,75,,,,,,,,,,,
"CHGL MORPH ANALYSIS, MAN EACH ADD'T",20101005,CDM,300,RC,88369,HCPCS,facility,both,,,,110,55,,,,,,,,,,,
"CHGL MORPH ANALYSIS, MAN EA MULTI",20101006,CDM,300,RC,88377,HCPCS,facility,both,,,,985,492.5,,,,,,,,,,,
CHGL PF 4 BY ELISA,20101170,CDM,300,RC,83520,HCPCS,facility,both,,,,112,56,,,,,,,,,,,
CHGL PATH REVIEW FOR CRYSTALS,20101180,CDM,300,RC,89060,HCPCS,facility,both,,,,109,54.5,,,,,,,,,,,
CHGL LC-CEBPA MUTATION ANALYSIS,20101501,CDM,310,RC,81218,HCPCS,facility,both,,,,973,486.5,,,,,,,,,,,
CHGL CULT F/CHROM: LYMPHOCYTES,20101640,CDM,311,RC,88230,HCPCS,facility,both,,,,550,275,,,,,,,,,,,
CHGL CULT F/CHROM: SKIN OR OTHER,20101641,CDM,311,RC,88233,HCPCS,facility,both,,,,2291,1145.5,,,,,,,,,,,
CHGL CULT F/CHROM: AMNIOTIC FLUID,20101642,CDM,310,RC,88235,HCPCS,facility,both,,,,626,313,,,,,,,,,,,
CHGL CULT F/CHROM: BONE MARROW,20101643,CDM,311,RC,88237,HCPCS,facility,both,,,,1294,647,,,,,,,,,,,
CHGL CULT F/CHROM: OTHER,20101644,CDM,311,RC,88239,HCPCS,facility,both,,,,1650,825,,,,,,,,,,,
CHGL CT 5 CELLS: 1 KARYO W/BANDING,20101646,CDM,311,RC,88261,HCPCS,facility,both,,,,2119,1059.5,,,,,,,,,,,
CHGL CT CELLS: 1 KARYO W/BANDING,20101650,CDM,311,RC,88269,HCPCS,facility,both,,,,1992,996,,,,,,,,,,,
CHGL ADDITIONAL KARYOTYPES: EACH,20101651,CDM,311,RC,88280,HCPCS,facility,both,,,,578,289,,,,,,,,,,,
CHGL ADDITIONAL CELLS COUNTED: EACH,20101653,CDM,311,RC,88285,HCPCS,facility,both,,,,229,114.5,,,,,,,,,,,
CHGL FACTOR X ACT. UNFRAC,20101656,CDM,300,RC,85520,HCPCS,facility,both,,,,80,40,,,,,,,,,,,
CHGL FACTOR X ACT. LMWH,20101657,CDM,300,RC,85520,HCPCS,facility,both,,,,80,40,,,,,,,,,,,
CHGL CYTOGENETIC DNA PROBE,20101660,CDM,311,RC,88271,HCPCS,facility,both,,,,156,78,,,,,,,,,,,
"CHGL CHROM IN SITU,10-30 CELLS",20101662,CDM,311,RC,88273,HCPCS,facility,both,,,,391,195.5,,,,,,,,,,,
"CHGL INTERPHASE IN SITU,100-300 CEL",20101664,CDM,311,RC,88275,HCPCS,facility,both,,,,397,198.5,,,,,,,,,,,
CHGL FISH HEMATOLOGIC MANUAL,20101667,CDM,310,RC,88368,HCPCS,facility,both,,,,300,150,,,,,,,,,,,
CHGL FISH HEMATOLOGIC ADD'TL MANUAL,20101668,CDM,310,RC,88368,HCPCS,facility,both,,,,300,150,,,,,,,,,,,
CHGL RSV PCR-EACH PROBE,20101700,CDM,300,RC,87634,HCPCS,facility,both,,,,405,202.5,,,,,,,,,,,
CHGL BV PANEL,20101721,CDM,300,RC,87801,HCPCS,facility,both,,,,605,302.5,,,,,,,,,,,
CHGL LC-CALR MUTATION ANALYSIS,20101723,CDM,310,RC,81219,HCPCS,facility,both,,,,1049,524.5,,,,,,,,,,,
CHGL P2Y12 ASSAY,20101724,CDM,300,RC,85576,HCPCS,facility,both,,,,210,105,,,,,,,,,,,
CHGL RUSSELL VIPER SCREEN-DILUTE,20101740,CDM,300,RC,85613,HCPCS,facility,both,,,,53,26.5,,,,,,,,,,,
CHGL RUSSELL VIPER CONFIRM-DILUTE,20101741,CDM,300,RC,85613,HCPCS,facility,both,,,,53,26.5,,,,,,,,,,,
CHGL ALPHA 2 ANTIPLASMIN,20101742,CDM,300,RC,85410,HCPCS,facility,both,,,,37,18.5,,,,,,,,,,,
CHGL ANALYZE 20-25 CELLS,20101743,CDM,310,RC,88264,HCPCS,facility,both,,,,1260,630,,,,,,,,,,,
CHGL ABSOLUTE NEUTROPHIL,20101744,CDM,300,RC,85048,HCPCS,facility,both,,,,44,22,,,,,,,,,,,
"CHGL MOL DIAG,CTC-ASSAY FOR TUMOR A",20101749,CDM,300,RC,86316,HCPCS,facility,both,,,,225,112.5,,,,,,,,,,,
CHGL CGH MICROARRAY ANALYSIS,20101760,CDM,310,RC,81229,HCPCS,facility,both,,,,2146,1073,,,,,,,,,,,
"CHGL MOL DIAG,HBV QUANT",20101801,CDM,300,RC,87517,HCPCS,facility,both,,,,828,414,,,,,,,,,,,
CHGL LC-SMA CARRIER TESTING,20101821,CDM,310,RC,81329,HCPCS,facility,both,,,,724,362,,,,,,,,,,,
CHGL HEPARIN AGG-LOW,20101900,CDM,300,RC,85576,HCPCS,facility,both,,,,129,64.5,,,,,,,,,,,
CHGL HEPARIN AGG-HIGH,20101901,CDM,300,RC,85576,HCPCS,facility,both,,,,129,64.5,,,,,,,,,,,
CHGL ACTIVATED PROTEIN C,20102015,CDM,300,RC,85307,HCPCS,facility,both,,,,122,61,,,,,,,,,,,
CHGL SYNOVIAL FLUID CELL CT/DIFF,20102016,CDM,300,RC,89051,HCPCS,facility,both,,,,187,93.5,,,,,,,,,,,
CHGL PLAT AGG - PFA COL ADP,20102017,CDM,300,RC,85576,HCPCS,facility,both,,,,133,66.5,,,,,,,,,,,
CHGL PLAT AGG - PFA COL EPI,20102018,CDM,300,RC,85576,HCPCS,facility,both,,,,133,66.5,,,,,,,,,,,
CHGL PLASMINOGEN ACTIVATOR INHIBITO,20102019,CDM,300,RC,85415,HCPCS,facility,both,,,,114,57,,,,,,,,,,,
CHGL D-DIMER QUANTITATION,20102373,CDM,300,RC,85379,HCPCS,facility,both,,,,318,159,,,,,,,,,,,
CHGL LC - PROTEIN S - TOTAL,20102375,CDM,300,RC,85305,HCPCS,facility,both,,,,38,19,,,,,,,,,,,
CHGL LC - PROTEIN S ACTIVITY(FREE),20102376,CDM,300,RC,85306,HCPCS,facility,both,,,,65,32.5,,,,,,,,,,,
CHGL UROVYSION PROBE EA-AUTOMATED,20102397,CDM,310,RC,88121,HCPCS,facility,both,,,,1655,827.5,,,,,,,,,,,
CHGL CYTOGENETIC PROBE SUBTELOMERES,20102405,CDM,311,RC,88271,HCPCS,facility,both,,,,156,78,,,,,,,,,,,
CHGL LC - ANTI-THROMBIN III ANTIGEN,20102409,CDM,300,RC,85301,HCPCS,facility,both,,,,38,19,,,,,,,,,,,
CHGL MACROSCOPIC EXAM AND PREP,20102460,CDM,300,RC,88387,HCPCS,facility,both,,,,83,41.5,,,,,,,,,,,
CHGL LAMELLAR BODY COUNTS,20102500,CDM,300,RC,83664,HCPCS,facility,both,,,,164,82,,,,,,,,,,,
CHGL HEXAGONAL PHASE PHOSPHOLIPID,20102501,CDM,300,RC,85598,HCPCS,facility,both,,,,455,227.5,,,,,,,,,,,
CHGL ANTI-XA FONDAPARINUX,20102502,CDM,300,RC,85520,HCPCS,facility,both,,,,80,40,,,,,,,,,,,
CHGL  LC-PROSTATE CANCER GENE3(PCA3),20102550,CDM,310,RC,81313,HCPCS,facility,both,,,,571,285.5,,,,,,,,,,,
CHGL MOL DIAG-CYSTIC FIBROSIS 97,20103000,CDM,310,RC,81220,HCPCS,facility,both,,,,2506,1253,,,,,,,,,,,
CHGL MOL DIAG-JAK2 EXON 14,20104004,CDM,310,RC,81270,HCPCS,facility,both,,,,734,367,,,,,,,,,,,
CHGL MOL DIAG-FACTOR V,20104008,CDM,310,RC,81241,HCPCS,facility,both,,,,700,350,,,,,,,,,,,
CHGL MOL DIAG-PTG,20104009,CDM,310,RC,81240,HCPCS,facility,both,,,,237,118.5,,,,,,,,,,,
CHGL MOL DIAG CF,20104010,CDM,310,RC,81220,HCPCS,facility,both,,,,633,316.5,,,,,,,,,,,
CHGL MICROARRAY-SNP,20104011,CDM,310,RC,81229,HCPCS,facility,both,,,,5217,2608.5,,,,,,,,,,,
CHGL LC-TAY-SACHS DNA ANALYSIS,20104012,CDM,310,RC,81255,HCPCS,facility,both,,,,526,263,,,,,,,,,,,
CHGL LC-HLA B*1502 SCREEN,20104016,CDM,310,RC,81381,HCPCS,facility,both,,,,542,271,,,,,,,,,,,
CHGL LC-CELIAC HLA DQ2 ASSOC,20104017,CDM,310,RC,81377,HCPCS,facility,both,,,,472,236,,,,,,,,,,,
CHGL LC-NARCOLEPSY EVALUATION,20104019,CDM,310,RC,81383,HCPCS,facility,both,,,,628,314,,,,,,,,,,,
"CHGL (LC) BRC/ABL MAJOR QUANT PCR, S/O",20104020,CDM,300,RC,81206,HCPCS,facility,both,,,,373,186.5,,,,,,,,,,,
CHGL LC-BCR/ABL QUANT PCR,20104021,CDM,310,RC,81479,HCPCS,facility,both,,,,575,287.5,,,,,,,,,,,
CHGL LC-HERED HEMOCHROMATOSIS PCR,20104022,CDM,310,RC,81256,HCPCS,facility,both,,,,190,95,,,,,,,,,,,
CHGL LC-CYTOCHROME P450 2C19 GENOTY,20104023,CDM,310,RC,81225,HCPCS,facility,both,,,,386,193,,,,,,,,,,,
CHGL LC-CYTOCHROME P450 2D6 GENOTYP,20104024,CDM,310,RC,81226,HCPCS,facility,both,,,,1267,633.5,,,,,,,,,,,
CHGL LC-B-THALASSEMIA HBB FGS,20104025,CDM,310,RC,81364,HCPCS,facility,both,,,,1456,728,,,,,,,,,,,
CHGL LC-ALPHA THALASSEMIA,20104026,CDM,310,RC,81257,HCPCS,facility,both,,,,383,191.5,,,,,,,,,,,
CHGL MOL DIAG-FRAGILE X,20104027,CDM,310,RC,81243,HCPCS,facility,both,,,,549,274.5,,,,,,,,,,,
CHGL LC-C-KIT MUTATION IN TUMORS,20104028,CDM,310,RC,81272,HCPCS,facility,both,,,,1310,655,,,,,,,,,,,
"CHGL LC-HLA TYPING A,B,C (IR)",20104031,CDM,310,RC,81372,HCPCS,facility,both,,,,1348,674,,,,,,,,,,,
CHGL LC-JAK2 EXON 12 MUTATION ANALY,20104034,CDM,310,RC,81279,HCPCS,facility,both,,,,1112,556,,,,,,,,,,,
CHGL LC-HLA B27 DISEASE ASSOCIATION,20104050,CDM,310,RC,81374,HCPCS,facility,both,,,,154,77,,,,,,,,,,,
CHGL LC-HLA B 5701,20104051,CDM,310,RC,81381,HCPCS,facility,both,,,,259,129.5,,,,,,,,,,,
CHGL LC-FBN-1 MARFAN SYNDROME FGS,20104054,CDM,310,RC,81408,HCPCS,facility,both,,,,6536,3268,,,,,,,,,,,
CHGL LC-FLT3 IDT & D835 VAR DET PCR,20104060,CDM,310,RC,81479,HCPCS,facility,both,,,,499,249.5,,,,,,,,,,,
CHGL LC-PML-RARA TRANSCRIPT DETECT,20104064,CDM,310,RC,81315,HCPCS,facility,both,,,,1386,693,,,,,,,,,,,
CHGL TEG KOALIN ANALYSIS,20107001,CDM,300,RC,85347,HCPCS,facility,both,,,,51,25.5,,,,,,,,,,,
CHGL TEG KOALIN ANALYSIS,20107002,CDM,300,RC,85384,HCPCS,facility,both,,,,59,29.5,,,,,,,,,,,
CHGL TEG KOALIN ANALYSIS,20107003,CDM,300,RC,85384,HCPCS,facility,both,,,,59,29.5,,,,,,,,,,,
CHGL TEG KOALIN ANALYSIS,20107004,CDM,300,RC,85576,HCPCS,facility,both,,,,79,39.5,,,,,,,,,,,
CHGL TEG KOALIN ANALYSIS,20107005,CDM,300,RC,85390,HCPCS,facility,both,,,,66,33,,,,,,,,,,,
CHGL PLATELET MAPPING ADP AND AA/TEG,20107007,CDM,300,RC,85576,HCPCS,facility,both,,,,79,39.5,,,,,,,,,,,
CHGL PLATELET MAPPING ADP AND AA/TEG,20107008,CDM,300,RC,85576,HCPCS,facility,both,,,,79,39.5,,,,,,,,,,,
CHGL PLATELET MAPPING ADP AND AA/TEG,20107009,CDM,300,RC,85576,HCPCS,facility,both,,,,79,39.5,,,,,,,,,,,
CHGL LC-IL28B POLYMORPHISM,20107901,CDM,310,RC,81283,HCPCS,facility,both,,,,766,383,,,,,,,,,,,
CHGL LC-IGVH SOMATIC HYPERMUTATION,20107903,CDM,310,RC,81263,HCPCS,facility,both,,,,1596,798,,,,,,,,,,,
CHGL LC-MEN2: RET GENE SEQUENCING,20107904,CDM,310,RC,81405,HCPCS,facility,both,,,,826,413,,,,,,,,,,,
CHGL LC-BCR-ABL1 KINASE DOMAIN MUT,20107905,CDM,310,RC,81170,HCPCS,facility,both,,,,1930,965,,,,,,,,,,,
CHGL LC-MATERNAL CELL CONTAMINATION,20107906,CDM,310,RC,81265,HCPCS,facility,both,,,,397,198.5,,,,,,,,,,,
"CHGL LC-MEN1 GENE, SEQ ANALYSIS",20107907,CDM,310,RC,81405,HCPCS,facility,both,,,,3049,1524.5,,,,,,,,,,,
CHGL MOL DIAG-RESPIRATORY VIRAL PNL,20107909,CDM,300,RC,0225U,HCPCS,facility,both,,,,1711,855.5,,,,,,,,,,,
CHGL AMNISURE,20107910,CDM,300,RC,84112,HCPCS,facility,both,,,,99,49.5,,,,,,,,,,,
CHGL EOS SMEAR URINE,20107911,CDM,300,RC,87205,HCPCS,facility,both,,,,64,32,,,,,,,,,,,
CHGL LC-ALPHA1-ANTITRYPSIN DEFIC,20107912,CDM,310,RC,81332,HCPCS,facility,both,,,,488,244,,,,,,,,,,,
CHGL LC-MPL MUTATION ANALYSIS,20109501,CDM,310,RC,81338,HCPCS,facility,both,,,,1319,659.5,,,,,,,,,,,
CHGL LC-MEFV FGS,20109701,CDM,310,RC,81404,HCPCS,facility,both,,,,2264,1132,,,,,,,,,,,
CHGL LC-BRCA1/2 COMP ANALYSIS,20109711,CDM,310,RC,81162,HCPCS,facility,both,,,,2982,1491,,,,,,,,,,,
CHGL MOL-DIAG BRAF MUTATION,20110003,CDM,310,RC,81210,HCPCS,facility,both,,,,709,354.5,,,,,,,,,,,
